,Node Label,PN incoming Connections,FSI incoming Connections,LTS incoming Connections
781,PN,8,10,9
782,PN,27,20,18
783,PN,40,27,20
784,PN,1,3,0
785,PN,22,26,11
786,PN,42,54,27
787,PN,11,13,7
788,PN,0,0,0
789,PN,0,1,0
790,PN,23,29,8
791,PN,7,6,3
792,PN,18,16,6
793,PN,0,0,3
794,PN,4,6,2
795,PN,4,2,3
796,PN,0,4,2
797,PN,11,4,7
798,PN,13,18,8
799,PN,28,24,14
800,PN,8,8,10
801,PN,3,2,4
802,PN,12,8,10
803,PN,2,2,1
804,PN,47,47,12
805,PN,0,0,0
806,PN,5,11,10
807,PN,34,41,11
808,PN,20,19,13
809,PN,33,34,16
810,PN,18,14,20
811,PN,10,12,5
812,PN,4,2,0
813,PN,18,21,16
814,PN,4,4,5
815,PN,30,32,16
816,PN,12,25,11
817,PN,14,8,7
818,PN,3,1,1
819,PN,5,15,3
820,PN,11,13,7
821,PN,20,25,18
822,PN,0,2,1
823,PN,0,3,2
824,PN,1,3,1
825,PN,10,12,9
826,PN,16,21,12
827,PN,0,1,0
828,PN,0,1,0
829,PN,8,17,9
830,PN,12,14,8
831,PN,0,2,1
832,PN,0,0,0
833,PN,23,14,9
834,PN,7,2,7
835,PN,21,25,11
836,PN,29,29,25
837,PN,31,28,12
838,PN,0,3,2
839,PN,20,17,13
840,PN,17,14,12
841,PN,42,38,22
842,PN,48,42,22
843,PN,27,19,11
844,PN,34,26,13
845,PN,17,23,21
846,PN,23,25,19
847,PN,35,27,10
848,PN,1,1,0
849,PN,9,3,6
850,PN,11,16,13
851,PN,4,5,6
852,PN,5,8,8
853,PN,1,0,1
854,PN,1,1,2
855,PN,0,3,0
856,PN,4,4,4
857,PN,0,0,1
858,PN,2,1,2
859,PN,11,13,10
860,PN,8,11,11
861,PN,10,7,6
862,PN,32,27,21
863,PN,28,34,19
864,PN,2,2,4
865,PN,12,12,9
866,PN,0,0,0
867,PN,20,16,11
868,PN,18,22,9
869,PN,22,25,14
870,PN,33,18,13
871,PN,8,7,10
872,PN,4,6,3
873,PN,4,5,5
874,PN,25,22,17
875,PN,14,13,7
876,PN,0,1,2
877,PN,32,29,18
878,PN,10,20,16
879,PN,12,10,13
880,PN,2,4,0
881,PN,16,15,10
882,PN,8,6,9
883,PN,22,26,13
884,PN,0,0,1
885,PN,30,29,17
886,PN,15,19,8
887,PN,38,23,17
888,PN,11,20,12
889,PN,10,12,6
890,PN,4,6,3
891,PN,8,5,5
892,PN,13,16,10
893,PN,7,9,10
894,PN,24,15,12
895,PN,1,7,3
896,PN,0,0,0
897,PN,30,37,25
898,PN,13,21,11
899,PN,9,9,8
900,PN,20,18,22
901,PN,18,12,12
902,PN,12,9,5
903,PN,1,3,2
904,PN,0,0,0
905,PN,14,11,10
906,PN,0,4,1
907,PN,2,6,8
908,PN,0,2,0
909,PN,12,14,8
910,PN,1,8,6
911,PN,7,9,9
912,PN,0,0,0
913,PN,49,30,20
914,PN,1,7,4
915,PN,30,32,13
916,PN,0,0,0
917,PN,19,18,10
918,PN,17,14,9
919,PN,37,27,24
920,PN,0,0,0
921,PN,23,13,11
922,PN,34,18,13
923,PN,12,10,9
924,PN,29,24,8
925,PN,20,13,19
926,PN,33,25,14
927,PN,8,16,9
928,PN,6,8,5
929,PN,6,8,10
930,PN,4,5,7
931,PN,32,29,16
932,PN,30,25,27
933,PN,20,22,14
934,PN,0,0,0
935,PN,30,35,30
936,PN,2,0,1
937,PN,2,1,4
938,PN,6,11,5
939,PN,1,4,2
940,PN,9,6,13
941,PN,43,26,20
942,PN,12,13,9
943,PN,6,4,3
944,PN,6,11,8
945,PN,0,0,0
946,PN,5,6,6
947,PN,3,5,5
948,PN,12,14,6
949,PN,10,7,3
950,PN,7,8,9
951,PN,9,8,6
952,PN,12,7,8
953,PN,6,11,2
954,PN,24,19,10
955,PN,1,2,1
956,PN,0,1,2
957,PN,31,31,10
958,PN,2,5,3
959,PN,13,17,7
960,PN,0,1,0
961,PN,28,31,13
962,PN,3,7,3
963,PN,3,4,3
964,PN,19,16,15
965,PN,0,0,0
966,PN,1,2,0
967,PN,29,30,27
968,PN,40,18,13
969,PN,19,37,17
970,PN,7,8,8
971,PN,30,46,20
972,PN,18,25,13
973,PN,1,0,0
974,PN,9,11,3
975,PN,4,9,4
976,PN,32,19,18
977,PN,5,6,3
978,PN,38,36,31
979,PN,1,4,0
980,PN,0,2,2
981,PN,13,19,10
982,PN,46,36,14
983,PN,6,6,14
