,Node Label,PN incoming Connections,FSI incoming Connections,LTS incoming Connections
1011,PN,64,37,22
1012,PN,70,49,41
1013,PN,64,42,36
1014,PN,52,39,26
1015,PN,50,28,19
1016,PN,64,56,50
1017,PN,68,53,47
1018,PN,87,59,37
1019,PN,73,76,50
1020,PN,39,18,15
1021,PN,46,34,28
1022,PN,61,54,47
1023,PN,54,33,24
1024,PN,45,21,26
1025,PN,68,46,29
1026,PN,60,49,34
1027,PN,67,62,52
1028,PN,65,50,43
1029,PN,73,56,46
1030,PN,68,52,49
1031,PN,74,39,35
1032,PN,78,52,43
1033,PN,70,62,54
1034,PN,87,39,33
1035,PN,65,45,37
1036,PN,73,50,23
1037,PN,56,63,44
1038,PN,72,63,56
1039,PN,54,41,21
1040,PN,86,39,21
1041,PN,41,39,19
1042,PN,90,63,60
1043,PN,45,27,18
1044,PN,63,59,37
1045,PN,35,19,16
1046,PN,47,30,17
1047,PN,63,49,30
1048,PN,73,56,40
1049,PN,43,32,22
1050,PN,25,12,17
1051,PN,80,49,47
1052,PN,39,26,18
1053,PN,78,37,35
1054,PN,58,41,24
1055,PN,49,44,45
1056,PN,69,38,34
1057,PN,57,37,30
1058,PN,72,54,43
1059,PN,47,35,20
1060,PN,80,43,39
1061,PN,66,57,42
1062,PN,44,43,32
1063,PN,42,27,16
1064,PN,54,42,45
1065,PN,32,29,14
1066,PN,43,41,27
1067,PN,83,40,28
1068,PN,66,49,22
1069,PN,38,44,22
1070,PN,30,23,5
1071,PN,90,61,61
1072,PN,69,28,27
1073,PN,63,50,39
1074,PN,55,20,17
1075,PN,51,39,27
1076,PN,81,55,34
1077,PN,30,18,20
1078,PN,61,55,43
1079,PN,60,51,34
1080,PN,49,29,22
1081,PN,76,38,25
1082,PN,42,27,22
1083,PN,69,58,51
1084,PN,61,46,34
1085,PN,62,57,41
1086,PN,66,39,26
1087,PN,61,39,33
1088,PN,38,46,28
1089,PN,77,54,38
1090,PN,79,48,38
1091,PN,63,35,30
1092,PN,74,61,43
1093,PN,70,52,37
1094,PN,66,39,29
1095,PN,78,54,50
1096,PN,24,28,12
1097,PN,37,29,30
1098,PN,52,36,22
1099,PN,77,54,37
1100,PN,76,53,47
1101,PN,57,50,36
1102,PN,49,34,33
1103,PN,41,23,19
1104,PN,45,40,44
1105,PN,39,37,16
1106,PN,82,50,51
1107,PN,30,27,14
1108,PN,67,57,39
1109,PN,70,65,39
1110,PN,62,49,26
1111,PN,38,34,25
1112,PN,55,55,31
1113,PN,75,53,39
1114,PN,41,38,27
1115,PN,44,30,20
1116,PN,51,57,43
1117,PN,43,35,19
1118,PN,78,51,45
1119,PN,52,52,36
1120,PN,81,48,34
1121,PN,46,32,28
1122,PN,59,38,26
1123,PN,68,27,13
1124,PN,84,54,40
1125,PN,59,49,24
1126,PN,49,31,32
1127,PN,77,61,46
1128,PN,38,29,21
1129,PN,65,63,36
1130,PN,56,44,30
1131,PN,70,60,37
1132,PN,57,45,24
1133,PN,59,55,45
1134,PN,37,19,13
1135,PN,58,26,26
1136,PN,70,37,33
1137,PN,62,39,36
1138,PN,22,14,11
1139,PN,46,41,23
1140,PN,76,49,31
1141,PN,52,41,40
1142,PN,78,61,41
1143,PN,70,55,37
1144,PN,68,50,53
1145,PN,84,46,26
1146,PN,75,59,50
1147,PN,68,56,32
1148,PN,63,71,42
1149,PN,83,44,36
1150,PN,57,40,35
1151,PN,79,63,36
1152,PN,76,63,47
1153,PN,76,72,50
1154,PN,71,41,35
1155,PN,78,40,32
1156,PN,50,47,24
1157,PN,67,30,19
1158,PN,61,33,29
1159,PN,63,42,46
1160,PN,36,31,21
1161,PN,82,53,40
1162,PN,71,59,43
1163,PN,48,32,22
1164,PN,68,56,34
1165,PN,61,60,34
1166,PN,69,66,38
1167,PN,43,46,20
1168,PN,54,37,31
1169,PN,51,39,26
1170,PN,60,52,28
1171,PN,74,53,29
1172,PN,43,26,16
1173,PN,72,41,29
1174,PN,71,49,43
1175,PN,77,24,21
1176,PN,76,29,33
1177,PN,63,30,28
1178,PN,51,44,28
1179,PN,38,43,28
1180,PN,63,46,36
1181,PN,70,30,26
1182,PN,52,44,21
1183,PN,67,49,40
1184,PN,66,69,53
1185,PN,51,53,34
1186,PN,59,37,27
1187,PN,79,41,26
1188,PN,82,50,36
1189,PN,57,38,24
1190,PN,52,53,39
1191,PN,73,78,55
1192,PN,63,27,26
1193,PN,74,59,45
1194,PN,71,31,36
1195,PN,63,52,25
1196,PN,50,28,21
1197,PN,52,33,19
1198,PN,65,54,23
1199,PN,61,44,24
1200,PN,58,38,30
1201,PN,69,35,36
1202,PN,63,38,29
1203,PN,67,59,48
1204,PN,51,27,25
1205,PN,51,52,30
1206,PN,40,35,21
1207,PN,67,62,39
1208,PN,30,18,19
1209,PN,73,58,46
1210,PN,60,57,33
1211,PN,55,35,34
1212,PN,48,44,27
1213,PN,84,54,37
1214,PN,54,21,11
1215,PN,92,67,49
1216,PN,71,45,41
1217,PN,42,24,25
1218,PN,65,50,47
1219,PN,67,44,31
1220,PN,73,47,40
1221,PN,50,48,38
1222,PN,73,63,50
1223,PN,36,20,19
1224,PN,72,26,33
1225,PN,74,61,50
1226,PN,83,65,46
1227,PN,38,19,24
1228,PN,59,43,21
1229,PN,54,35,35
1230,PN,80,49,36
1231,PN,74,50,26
1232,PN,56,55,33
1233,PN,56,31,24
1234,PN,21,33,10
